ID,WWEIA_FCID_Code_0510,C_COMMONUM,FCID_Desc,LETTER,CODEX
39,101050000,574,"Beet, garden, roots",VR,BEETROOT
40,101050001,574,"Beet, garden, roots-babyfood",VR,BEETROOT
41,101052000,596,"Beet, sugar",VR,SUGAR BEET
42,101052001,596,"Beet, sugar-babyfood",VR,SUGAR BEET
43,101053000,596,"Beet, sugar, molasses",DM,SUGAR BEET MOLASSES
44,101053001,596,"Beet, sugar, molasses-babyfood",DM,SUGAR BEET MOLASSES
45,101067000,575,Burdock,VR,"BURDOCK, GREATER OR EDIBLE"
46,101078000,577,Carrot,VR,CARROT
47,101078001,577,Carrot-babyfood,VR,CARROT
48,101079000,577,"Carrot, juice",VR,CARROT
49,101084000,578,Celeriac,VR,CELERIAC
50,101100000,469,"Chicory, roots",VR,"CHICORY, ROOTS"
51,101168000,0,"Ginseng, dried",--,
53,101190000,583,Horseradish,VR,HORSERADISH
52,101190000,4779,Horseradish,HS,"HORSERADISH, SEE VR 0583, GROUP 016:  ROOT AND TUBER"
54,101250000,587,"Parsley, turnip rooted",VR,"PARSLEY, TURNIP-ROOTED"
55,101251000,588,Parsnip,VR,PARSNIP
56,101251001,588,Parsnip-babyfood,VR,PARSNIP
57,101314000,494,"Radish, roots",VR,RADISH
58,101316000,494,"Radish, Oriental, roots",VR,RADISH
60,101327000,4563,Rutabaga,VR,"RUTABAGA, SEE SWEDE"
62,101327000,497,Rutabaga,VR,SWEDE
59,101327000,497,Rutabaga,AM,SWEDISH TURNIP OR SWEDE FODDER
61,101327000,4573,Rutabaga,VR,"TURNIP, SWEDISH, SEE SWEDE"
63,101331000,4557,"Salsify, roots",VR,"OYSTER PLANT, SEE SALSIFY"
64,101388000,506,"Turnip, roots",VR,"TURNIP, GARDEN"
65,103015000,573,"Arrowroot, flour",VR,ARROWROOT
66,103015001,573,"Arrowroot, flour-babyfood",VR,ARROWROOT
67,103017000,585,"Artichoke, Jerusalem",VR,JERUSALEM ARTICHOKE
69,103082000,463,Cassava,VR,CASSAVA
68,103082000,4555,Cassava,VR,"MANIOC, SEE CASSAVA, BITTER"
70,103082001,463,Cassava-babyfood,VR,CASSAVA
71,103139000,4541,"Dasheen, corm",VR,"DASHEEN, SEE TARO"
72,103166000,784,Ginger,HS,"GINGER, ROOT"
73,103166001,784,Ginger-babyfood,HS,"GINGER, ROOT"
74,103167000,784,"Ginger, dried",HS,"GINGER, ROOT"
75,103296000,589,"Potato, chips",VR,POTATO
76,103297000,589,"Potato, dry (granules/ flakes)",VR,POTATO
77,103297001,589,"Potato, dry (granules/ flakes)-babyfood",VR,POTATO
78,103298000,589,"Potato, flour",VA,POTATO
79,103298001,589,"Potato, flour-babyfood",VA,POTATO
80,103299000,589,"Potato, tuber, w/peel",VA,POTATO
81,103299001,589,"Potato, tuber, w/peel-babyfood",VA,POTATO
82,103300000,589,"Potato, tuber, w/o peel",VR,POTATO
83,103300001,589,"Potato, tuber, w/o peel-babyfood",VR,POTATO
84,103366000,508,Sweet potato,VR,SWEET POTATO
85,103366001,508,Sweet potato-babyfood,VR,SWEET POTATO
86,103371000,4593,"Tanier, corm",VR,"YAUTIA, SEE TANNIA"
87,103371000,504,"Tanier, corm",VR,TANNIA
88,103387000,794,Turmeric,HS,"TURMERIC, ROOT"
89,103406000,600,"Yam, true",VR,YAM
90,103407000,601,Yam bean,VR,YAM BEAN
301,200051000,464,"Beet, garden, tops",VL,CHARD
302,200101000,4377,"Chicory, tops",VL,"SUGAR LOAF, SEE CHICORY LEAVES"
303,200101000,469,"Chicory, tops",VL,CHICORY LEAVES (GREEN AND RED CULTIVARS)
312,200140000,505,"Dasheen, leaves",VL,TARO LEAVES
318,402315000,494,"Radish, tops",VL,RADISH LEAVES (INCLUDING RADISH TOPS)
319,200317000,494,"Radish, Oriental, tops",VL,RADISH LEAVES (INCLUDING RADISH TOPS)
320,200332000,498,"Salsify, tops",VL,SALSIFY LEAVES
325,301165000,381,"Garlic, bulb",VA,GARLIC
326,301165001,381,"Garlic, bulb-babyfood",VA,GARLIC
327,301237000,385,"Onion, bulb",VA,"ONION, BULB"
328,301237001,385,"Onion, bulb-babyfood",VA,"ONION, BULB"
329,301238000,385,"Onion, bulb, dried",VA,"ONION, BULB"
330,301238001,385,"Onion, bulb, dried-babyfood",VA,"ONION, BULB"
331,301338000,388,"Shallot, bulb",VA,SHALLOT
332,302103000,727,"Chive, fresh leaves",HH,CHIVES
334,302198000,384,Leek,VA,LEEK
333,302198000,383,Leek,VA,KURRAT
335,302239000,389,"Onion, green",VA,"ONION, BULB"
336,302338500,388,"Shallot, fresh leaves",VA,SHALLOT
418,401005000,460,"Amaranth, leafy",VL,AMARANTH
417,401005000,4323,"Amaranth, leafy",VL,"BLEDO, SEE AMARANTH"
420,402018000,496,Arugula,VL,RUCOLA
419,402018000,4315,Arugula,VL,"ARRUGULA, SEE RUCOLA"
421,401104000,479,"Chrysanthemum, garland",VL,"JAPANESE GREENS, VARIOUS SPECIES, A.O."
422,402133000,4349,"Cress, garden",VL,"GARDEN CRESS, SEE CRESS, GARDEN"
423,402133000,472,"Cress, garden",VL,"CRESS, GARDEN"
424,402134000,751,"Cress, upland",HH,"WINTER CRESS, COMMON; AMERICAN"
425,401138000,474,"Dandelion, leaves",VL,DANDELION
426,401150000,4341,Endive,VL,"ENDIVE, BROAD OR PLAIN LEAVED, SEE ENDIVE"
428,401150000,476,Endive,VL,ENDIVE
427,401150000,4343,Endive,VL,"ENDIVE, CURLED, SEE ENDIVE"
429,401204000,4335,"Lettuce, head",VL,"CRISPHEAD LETTUCE, SEE LETTUCE, HEAD"
430,401204000,4359,"Lettuce, head",VL,"LETTUCE, RED, SEE LETTUCE, HEAD"
431,401204000,482,"Lettuce, head",VL,"LETTUCE, HEAD"
434,401205000,510,"Lettuce, leaf",VL,COS LETTUCE
433,401205000,483,"Lettuce, leaf",VL,"LETTUCE, LEAF"
432,401205000,4339,"Lettuce, leaf",VL,"CUTTING LETTUCE, SEE LETTUCE, LEAF"
435,401248000,740,"Parsley, leaves",HH,PARSLEY
437,401313000,469,Radicchio,VL,CHICORY LEAVES (GREEN AND RED CULTIVARS)
436,401313000,4371,Radicchio,VL,"RED LEAVED CHICORY, SEE CHICORY LEAVES"
438,401355000,502,Spinach,VL,SPINACH
439,401355001,502,Spinach-babyfood,VL,SPINACH
440,2202076000,623,Cardoon,VS,CARDOON
441,2202085000,4595,Celery,VS,"CELERY LEAVES, SEE GROUP 027: HERBS"
442,2202085000,624,Celery,VS,CELERY
443,2202085001,625,Celery-babyfood,VS,CELTUCE
444,2202086000,624,"Celery, juice",VS,CELERY
445,2201087000,625,Celtuce,VS,CELTUCE
447,2201152000,4163,"Fennel, Florence",VA,"FENNEL, SWEET, SEE FENNEL, ROMAN"
446,2201152000,380,"Fennel, Florence",VA,"FENNEL, BULB"
448,2202322000,627,Rhubarb,VS,RHUBARB
451,401367000,4375,Swiss chard,VL,"SPINACH BEET, SEE CHARD"
450,401367000,4373,Swiss chard,VL,"SILVER BEET, SEE CHARD"
454,401367000,499,Swiss chard,VL,SEA KALE
452,401367000,4379,Swiss chard,VL,"SWISS CHARD, SEE CHARD"
449,401367000,4317,Swiss chard,VL,"BEET LEAVES, SEE CHARD"
453,401367000,464,Swiss chard,VL,CHARD
467,500061000,42,Broccoli,VB,"FLOWERHEAD BRASSICAS (INCLUDES BROCCOLI: BROCCOLI, CHINESE)"
465,500061000,400,Broccoli,VB,BROCCOLI
466,500061000,4173,Broccoli,VB,"BROCCOLI, SPROUTING, SEE BROCCOLI"
468,500061001,42,Broccoli-babyfood,VB,"FLOWERHEAD BRASSICAS (INCLUDES BROCCOLI: BROCCOLI, CHINESE)"
470,402062000,4191,"Broccoli, Chinese",VB,"KAILAN, SEE BROCCOLI, CHINESE"
469,402062000,401,"Broccoli, Chinese",VB,"BROCCOLI, CHINESE"
471,500064000,402,Brussels sprouts,VB,BRUSSELS SPROUTS
475,500069000,4177,Cabbage,VB,"CABBAGE, GREEN,SEE CABBAGE,SAVOY"
473,500069000,41,Cabbage,VB,"CABBAGES, HEAD"
477,500069000,4181,Cabbage,VB,"CABBAGE, OXHEAD, SEE CABBAGES, HEAD"
479,500069000,4185,Cabbage,VB,"CABBAGE, WHITE, SEE CABBAGE,HEAD"
478,500069000,4183,Cabbage,VB,"CABBAGE, POINTED, SEE CABBAGE, OXHEAD"
480,500069000,4187,Cabbage,VB,"CABBAGE, YELLOW, SEE CABBAGE, SAVOY"
476,500069000,4179,Cabbage,VB,"CABBAGE,RED, SEE CABBAGES, HEAD"
472,500069000,403,Cabbage,VB,"CABBAGE, SAVOY, SEE ALSO CABBAGES, HEAD"
474,500069000,4175,Cabbage,VB,"CABBAGE, SEE CABBAGES,HEAD"
482,500071000,467,"Cabbage, Chinese, napa",VL,"CHINESE CABBAGE, (TYPE PE-TSAI)"
481,500071000,4367,"Cabbage, Chinese, napa",VL,"PAK-TSAI, SEE CHINESE CABBAGE, (TYPE PE-TSAI)"
483,500072000,467,"Cabbage, Chinese, mustard",VL,"CHINESE CABBAGE, (TYPE PE-TSAI)"
485,500083000,4189,Cauliflower,VB,"CAULIFLOWER, GREEN, SEE CAULIFLOWER"
484,500083000,404,Cauliflower,VB,"CAULIFLOWER, SEE ALSO FLOWERHEAD BRASSICAS"
486,2201196000,405,Kohlrabi,VB,KOHLRABI
487,402063000,4327,Broccoli raab,VL,BROCCOLI RAAB
488,402070000,4329,"Cabbage, Chinese, bok choy",VL,"CELERY CABBAGE, SEE CHINESE CABBAGE"
492,402070000,466,"Cabbage, Chinese, bok choy",VL,PAK-CHOI OR PAKSOI
491,402070000,4385,"Cabbage, Chinese, bok choy",VL,"TSOI SUM, SEE CHOISUM"
493,402070000,467,"Cabbage, Chinese, bok choy",VL,"CHINESE CABBAGE, (TYPE PE-TSAI)"
490,402070000,4383,"Cabbage, Chinese, bok choy",VL,"TSAI SHIM, SEE CHOISUM"
489,402070000,4331,"Cabbage, Chinese, bok choy",VL,"CELERY MUSTARD, SEE PAK-CHOI"
494,402117000,1050,Collards,AV,COW CABBAGE
499,402194000,480,Kale,VL,"KALE (INCLUDING AMONG OTHERS: COLLARDS, CURLY KALE)"
497,402194000,4337,Kale,VL,"CURLY KALE, SEE KALE, CURLY"
498,402194000,4355,Kale,VL,"KALE, CURLY, SEE KALE"
496,402194000,4325,Kale,VL,"BORECOLE, SEE KALE, CURLY"
495,402194000,480,Kale,AV,KALE FORAGE
500,402229000,485,Mustard greens,VL,MUSTARD GREENS
501,402318000,495,Rape greens,VL,RAPE GREENS
504,402389000,506,"Turnip, greens",VL,TURNIP GREENS
503,402389000,4365,"Turnip, greens",VL,"NAMENIA, SEE TURNIP GREENS"
502,402389000,506,"Turnip, greens",AV,TURNIP LEAVES OR TOPS
510,600347000,4723,"Soybean, seed",SO,"SOYA BEAN (DRY), SEE GROUP 015: PULSES"
512,600347000,541,"Soybean, seed",VD,SOYA BEAN (DRY)
511,600347000,4521,"Soybean, seed",VD,"SOYBEAN (DRY), SEE SOYA BEAN (DRY)"
513,600349000,4455,"Soybean, soy milk",VP,"SOYBEAN, SEE SOYA BEAN"
514,600349001,4455,"Soybean, soy milk-babyfood or infant formula",VP,"SOYBEAN, SEE SOYA BEAN"
515,600350000,541,"Soybean, oil",OR,"SOYA BEAN OIL, REFINED"
516,600350001,541,"Soybean, oil-babyfood",OR,"SOYA BEAN OIL, REFINED"
518,601043000,526,"Bean, snap, succulent",VP,COMMON BEAN (PODS AND/OR IMMATURE SEEDS)
517,601043000,4453,"Bean, snap, succulent",VP,"SNAP BEAN (YOUNG PODS), SEE COMMON BEAN"
519,601043001,526,"Bean, snap, succulent-babyfood",VP,COMMON BEAN (PODS AND/OR IMMATURE SEEDS)
520,601257000,528,"Pea, edible podded, succulent",VP,"GARDEN PEA (YOUNG PODS) (=SUCCULENT, IMMATURE SEEDS)"
521,601349500,541,"Soybean, vegetable",VP,SOYA BEAN (IMMATURE SEEDS)
523,602031000,522,"Bean, broad, succulent",VP,BROAD BEAN (GREEN PODS AND IMMATURE SEEDS)
524,602031000,523,"Bean, broad, succulent",VP,"BROAD BEAN, SHELLED (SUCCULENT) (= IMMATURE SEEDS)"
522,602031000,4409,"Bean, broad, succulent",VP,"FIELD BEAN (GREEN PODS), SEE COMMON BEAN"
525,602033000,527,"Bean, cowpea, succulent",VP,COWPEA (IMMATURE PODS)
526,602037000,4401,"Bean, lima, succulent",VP,"BUTTER BEAN (IMMATURE PODS), SEE LIMA BEAN"
528,602037000,534,"Bean, lima, succulent",VP,LIMA BEAN (YOUNG PODS AND/OR IMMATURE BEANS)
527,602037000,4451,"Bean, lima, succulent",VP,"SIEVA BEAN (YOUNG PODS AND/OR GREEN FRESH BEANS), SEE LIMA"
529,602255000,63,"Pea, succulent",VP,PEAS (PODS AND SUCCULENT = IMMATURE SEEDS)
530,602255000,64,"Pea, succulent",VP,"PEAS, SHELLED (SUCCULENT SEEDS)"
531,602255001,64,"Pea, succulent-babyfood",VP,"PEAS, SHELLED (SUCCULENT SEEDS)"
532,602259000,4471,"Pea, pigeon, succulent",VD,"CAJAN PEA, SEE PIGEON PEA"
534,602259000,4443,"Pea, pigeon, succulent",VP,"PIGEON BEAN, (GREEN PODS AND IMMATURE SEEDS)"
535,602259000,537,"Pea, pigeon, succulent",VP,PIGEON PEA (GREEN PODS AND/OR YOUNG GREEN SEEDS)
533,602259000,4513,"Pea, pigeon, succulent",VD,"RED GRAM (DRY), SEE PIGEON PEA (DRY)"
536,603030000,521,"Bean, black, seed",VD,BLACK GRAM (DRY)
540,603032000,523,"Bean, broad, seed",VD,BROAD BEAN (DRY)
541,603032000,4407,"Bean, broad, seed",VP,"FAVA BEAN (GREEN PODS AND IMMATURE BEANS), SEE BROAD BEAN"
539,603032000,4499,"Bean, broad, seed",VD,"HORSE BEAN (DRY), SEE BROAD BEAN (DRY)"
537,603032000,4475,"Bean, broad, seed",VD,"FAVA BEAN (DRY), SEE BROAD BEAN (DRY)"
538,603032000,4477,"Bean, broad, seed",VD,"FIELD BEAN (DRY), SEE COMMON BEAN (DRY)"
542,603032000,4429,"Bean, broad, seed",VP,HORSE BEAN (GREEN PODS AND/OR IMMATURE SEEDS)
543,603034000,527,"Bean, cowpea, seed",VD,COWPEA (DRY)
544,603035000,71,"Bean,  great northern, seed",VD,BEANS (DRY)
546,603036000,526,"Bean, kidney, seed",VD,COMMON BEAN (DRY)
545,603036000,4503,"Bean, kidney, seed",VD,"KIDNEY BEAN (DRY), SEE COMMON BEAN (DRY)"
547,603038000,4519,"Bean, lima, seed",VD,"SIEVA BEAN (DRY), SEE LIMA BEAN (DRY)"
548,603038000,534,"Bean, lima, seed",VD,LIMA BEAN (DRY)
549,603039000,4493,"Bean, mung, seed",VD,"GREEN GRAM (DRY),SEE MUNG BEAN (DRY)"
550,603039000,536,"Bean, mung, seed",VD,MUNG BEAN (DRY)
551,603040000,4509,"Bean, navy, seed",VD,"NAVY BEAN (DRY), SEE COMMON BEAN (DRY)"
552,603041000,71,"Bean, pink, seed",VD,BEANS (DRY)
553,603042000,71,"Bean, pinto, seed",VD,BEANS (DRY)
555,603098000,524,"Chickpea, seed",VD,CHICK-PEA (DRY)
556,603098000,4417,"Chickpea, seed",VP,"GARBANZOS, SEE CHICK-PEA"
554,603098000,4489,"Chickpea, seed",VD,"GRAM (DRY), SEE CHICK-PEA (DRY)"
557,603098001,,"Chickpea, seed-babyfood",,
558,603099000,524,"Chickpea, flour",VD,CHICK-PEA (DRY)
559,603182000,525,"Guar, seed",VP,CLUSTER BEAN (YOUNG PODS)
560,603182001,525,"Guar, seed-babyfood",VP,CLUSTER BEAN (YOUNG PODS)
561,603203000,533,"Lentil, seed",VD,LENTIL (DRY)
562,603256000,4511,"Pea, dry",VD,"PEA (DRY), SEE FIELD PEA (DRY)"
563,603256001,4511,"Pea, dry-babyfood",VD,"PEA (DRY), SEE FIELD PEA (DRY)"
564,603258000,537,"Pea, pigeon, seed",VD,PIGEON PEA (DRY)
565,603258000,4447,"Pea, pigeon, seed",VP,"RED GRAM (GREEN PODS AND/OR YOUNG GREEN SEEDS),SEE PIGEON PE"
566,600348000,541,"Soybean, flour",VD,SOYA BEAN (DRY)
567,600348001,541,"Soybean, flour-babyfood",VD,SOYA BEAN (DRY)
814,801374000,4309,Tomatillo,VO,"TOMATILLO, SEE GROUND CHERRIES"
815,801374000,441,Tomatillo,VO,GROUND CHERRIES
813,801374000,4291,Tomatillo,VO,"HUSK TOMATO, SEE GROUND CHERRIES"
812,801375000,448,Tomato,VO,TOMATO
816,801375001,448,Tomato-babyfood,VO,TOMATO
817,801376000,448,"Tomato, paste",JF,TOMATO JUICE
818,801376000,448,"Tomato, paste",VO,TOMATO
819,801376001,448,"Tomato, paste-babyfood",VO,TOMATO
820,801377000,448,"Tomato, puree",VO,TOMATO
821,801377001,448,"Tomato, puree-babyfood",VO,TOMATO
822,801378000,168,"Tomato, dried",DV,DRY FRUIT
823,801378001,168,"Tomato, dried-babyfood",DV,DRY FRUIT
824,801379000,448,"Tomato, juice",JF,TOMATO JUICE
825,801380000,312,Tree Tomato,FT,TREE TOMATO
826,801380000,4123,Tree Tomato,FT,"TAMARILLO, SEE TREE TOMATO"
828,802148000,440,Eggplant,VO,EGG PLANT
