WWEIA_FCID_Code_0510,FCID_Descb,Weight_Basis,Comments
101050000,"Beet, garden, roots",weight of roots; juice,
101050001,"Beet, garden, roots-babyfood",weight of roots,
101052000,"Beet, sugar",dry weight of sugar (sucrose),Sucrose is a disaccharide obtained from sugar cane and sugar beet.
101052001,"Beet, sugar-babyfood",dry weight of sugar (sucrose),Sucrose is a disaccharide obtained from sugar cane and sugar beet.
101053000,"Beet, sugar, molasses",weight of molasses,
101053001,"Beet, sugar, molasses-babyfood",weight of molasses,
101067000,Burdock,weight of roots,
101078000,Carrot,"weight of roots, with or without peel, excluding tops",
101078001,Carrot-babyfood,"weight of roots, with or without peel, excluding tops",
101079000,"Carrot, juice",weight of juice at single strength (or standard dilution),
101084000,Celeriac,weight of tuberous root,
101100000,"Chicory, roots",weight of roots,
101168000,"Ginseng, dried",dry weight of roots,
101190000,Horseradish,"weight of root, ground",
101250000,"Parsley, turnip rooted",weight of roots and leaves,
101251000,Parsnip,weight of roots with or without peel,
101251001,Parsnip-babyfood,weight of roots with or without peel,
101314000,"Radish, roots",weight of roots,
101316000,"Radish, Oriental, roots",weight of roots,
101327000,Rutabaga,weight of roots; excluding tops,
101331000,"Salsify, roots",weight of roots,Also called oyster plant.
101388000,"Turnip, roots",weight of roots,
103015000,"Arrowroot, flour",dry weight of flour,
103015001,"Arrowroot, flour-babyfood",dry weight of flour,
103017000,"Artichoke, Jerusalem",edible portion of tuber,
103082000,Cassava,weight of root; dry tapioca,Includes tapioca.
103082001,Cassava-babyfood,weight of root; dry tapioca,Includes tapioca.
103139000,"Dasheen, corm",weight of the corm,Includes taro.
103166000,Ginger,weight of roots; excluding peel,
103166001,Ginger-babyfood,"weight of roots, excluding peel",
103167000,"Ginger, dried",dry weight of roots; excluding peel,
103296000,"Potato, chips","weight of potato from chip or stick, with or without peel",
103297000,"Potato, dry (granules/ flakes)",dry weight of granules or flakes,
103297001,"Potato, dry (granules/ flakes)-babyfood",dry weight of granules or flakes,
103298000,"Potato, flour",dry weight of flour or potato starch,
103298001,"Potato, flour-babyfood",dry weight of flour or potato starch,
103299000,"Potato, tuber, w/peel",weight of tuber;  including peel,
103299001,"Potato, tuber, w/peel-babyfood",weight of tuber;  including peel,
103300000,"Potato, tuber, w/o peel",weight of tuber;  excluding peel,
103300001,"Potato, tuber, w/o peel-babyfood",weight of tuber; excluding peel,
103366000,Sweet potato,"weight of roots, with or without peel; juice",
103366001,Sweet potato-babyfood,weight of root; juice,Likely without peel.
103371000,"Tanier, corm",weight of corm,Also called Cocoyam.
103387000,Turmeric,weight of roots,
103406000,"Yam, true",weight of roots,
103407000,Yam bean,weight of roots,Also called jicama.
200051000,"Beet, garden, tops",weight of leaves,Include pumpkin leaves.
200101000,"Chicory, tops",weight of leaves,
200140000,"Dasheen, leaves",weight of the leaves,Includes taro.
200317000,"Radish, Oriental, tops",weight of leaves,
200332000,"Salsify, tops",weight of leaves,Also called oyster plant.
301165000,"Garlic, bulb",dry weight of bulb; excluding skin (outer scales),"same as Garlic, bulb includes great headed garlic, serpent garlic, and eleph"
301165001,"Garlic, bulb-babyfood",dry weight of bulb; excluding skin (outer scales),"same as Garlic, bulb includes great headed garlic, serpent garlic, and eleph"
301237000,"Onion, bulb",weight of bulb; excluding outer skin,"Includes Daylily; Fritillaria, bulb; Lily; Chinese onion, bulb."
301237001,"Onion, bulb-babyfood",weight of bulb; excluding outer skin,"Includes Daylily; Fritillaria, bulb; Lily; Chinese onion, bulb."
301238000,"Onion, bulb, dried",dry weight of bulb; excluding outer skin,"Includes Daylily; Fritillaria, bulb; Lily; Chinese onion, bulb."
301238001,"Onion, bulb, dried-babyfood",dry weight of bulb; excluding outer skin,"Includes Daylily; Fritillaria, bulb; Lily; Chinese onion, bulb."
301338000,"Shallot, bulb",weight of bulb; excluding skin,
302103000,"Chive, fresh leaves",weight of fresh leaves,Includes Chinese chives.
302198000,Leek,weight of whole plant; including leaves and bulb,Includes lady leek and wild leek
302239000,"Onion, green",weight of bulb or bulb and leaves,"Includes Elegans hosta; Fritillaria, leaves, Kurrat; Beltsville bunching oni"
302338500,"Shallot, fresh leaves",weight of leaves and stems,
401005000,"Amaranth, leafy",weight of leaf,"Includes Tampala, Chinese spinach, lambsquarter, and pokeweed (pokeberry)."
401104000,"Chrysanthemum, garland",edible leaves and stems,"Includes Chrysanthemum, edible leaved."
401118000,"Cilantro, leaves",weight of leaves,Includes Chinese parsley and coriander leaves.
401118001,"Cilantro, leaves-babyfood",weight of leaves,Includes Chinese parsley and coriander leaves.
401138000,"Dandelion, leaves",weight of leaves,
401144000,Dillweed,weight of leaves,
401150000,Endive,weight of leaves,Includes escarole.
401204000,"Lettuce, head",weight of leaves; juice,
401205000,"Lettuce, leaf",weight of leaves,Includes romaine.
401248000,"Parsley, leaves",weight of leaves and stems,
401313000,Radicchio,weight of leaves,
401355000,Spinach,weight of leaves; juice,
401355001,Spinach-babyfood,weight of leaves; juice,
401367000,Swiss chard,weight of leaves and stalks,
402018000,Arugula,weight of leaves,
402062000,"Broccoli, Chinese","weight of flower buds, adjoining stems and leaves",
402063000,Broccoli raab,"weight of flower buds, adjoining stems and leaves",
402070000,"Cabbage, Chinese, bok choy",weight of leaves and stems,
402117000,Collards,weight of leaves,
402133000,"Cress, garden",weight of leaves,
402134000,"Cress, upland",weight of leaves,Includes Yellow rocket and Winter cress.
402194000,Kale,weight of leaves,Includes mizuna.
402229000,Mustard greens,weight of leaves and stems,
402315000,"Radish, tops",weight of leaves,
402318000,Rape greens,weight of leaves and stems,
402389000,"Turnip, greens",weight of leaves,
402398000,Watercress,weight of leaves and stems; juice,
500061000,Broccoli,weight of flower heads and adjoining stems,
500061001,Broccoli-babyfood,weight of flower heads and adjoining stems,
500064000,Brussels sprouts,weight of leaf sprouts,
500069000,Cabbage,weight of leaves,
500071000,"Cabbage, Chinese, napa",weight of leaves,
500072000,"Cabbage, Chinese, mustard",weight of leaves,
500083000,Cauliflower,weight of flower heads and adjoining stems,Includes Broccoflower and green cauliflower.
600347000,"Soybean, seed",dry weight of seed or bean,
600348000,"Soybean, flour","dry weight of flour, soy meal, soy protein concentrate and",
600348001,"Soybean, flour-babyfood","dry weight of flour, soy meal, soy protein concentrate and",
600349000,"Soybean, soy milk",total weight of milk,
600349001,"Soybean, soy milk-babyfood or infant formula",total weight of milk,
600350000,"Soybean, oil",weight of oil,Includes lecithin.
600350001,"Soybean, oil-babyfood",weight of oil,Includes lecithin.
601043000,"Bean, snap, succulent",weight of bean and pod,"Includes green bean, string bean, runner bean, and wax bean."
601043001,"Bean, snap, succulent-babyfood",weight of bean and pod,"Includes green bean, runner bean, and wax bean."
601257000,"Pea, edible podded, succulent",weight of pea and pod,
601349500,"Soybean, vegetable",Weight of bean and pod or weight of bean excluding pod,"Includes soybean immature seed, vegetable soybean succulent, and edamane."
602031000,"Bean, broad, succulent",weight of bean and pod,Also called fava bean.
602033000,"Bean, cowpea, succulent",weight of bean; excluding pod,"Includes cowpea, crowder pea, blackeye pea, and southern pea."
602037000,"Bean, lima, succulent",weight of bean; excluding pod,
602255000,"Pea, succulent",weight of peas,
602255001,"Pea, succulent-babyfood",weight of peas,
602259000,"Pea, pigeon, succulent",weight of pea,"In U.S. presently, usually found as canned pigeon peas."
603030000,"Bean, black, seed",dry weight of bean,"Includes black turtle bean, Bayo, and brown bean."
603032000,"Bean, broad, seed",dry weight of bean,Also called fava bean.
603034000,"Bean, cowpea, seed",dry weight of bean,"Includes cowpea, crowder pea, blackeye pea, and southern pea."
603035000,"Bean,  great northern, seed",dry weight of bean,
603036000,"Bean, kidney, seed",dry weight of bean,
603038000,"Bean, lima, seed",dry weight of bean,
603039000,"Bean, mung, seed",dry weight of bean,Bean sprouts are the human food item.
603040000,"Bean, navy, seed",dry weight of bean,Includes pea bean.
603041000,"Bean, pink, seed",dry weight of bean,
603042000,"Bean, pinto, seed",dry weight of bean,Include calico and red Mexican bean.
603098000,"Chickpea, seed",dry weight of bean,Also called garbanzo bean.
603098001,"Chickpea, seed-babyfood",dry weight of bean,Also called garbanzo bean.
603099000,"Chickpea, flour",dry weight of flour,Also called garbanzo bean.
603182000,"Guar, seed",weight of bean,
603182001,"Guar, seed-babyfood",weight of bean,
603203000,"Lentil, seed",dry weight of edible seed,
603256000,"Pea, dry",dry weight of pea,
603256001,"Pea, dry-babyfood",dry weight of pea,
603258000,"Pea, pigeon, seed",dry weight of pea,
801173500,Goji berry,dry weight of berry,
801374000,Tomatillo,weight of fruit; excluding outer husks,
801375000,Tomato,"weight of pulp, seeds and skin; tomatoes without skin but w",
801375001,Tomato-babyfood,"weight of pulp, seeds and skin; tomatoes without skin but w",
801376000,"Tomato, paste",weight of concentrated tomato pulp from food described as p,
801376001,"Tomato, paste-babyfood",weight of concentrated tomato pulp (from food described as,
801377000,"Tomato, puree",weight of concentrated tomato pulp (from food described as,
801377001,"Tomato, puree-babyfood",weight of concentrated tomato pulp (from food described as,
801378000,"Tomato, dried",weight of dried tomato (may include skin and/or seeds),
801378001,"Tomato, dried-babyfood",weight of dried tomato (may include skin and/or seeds),
801379000,"Tomato, juice",weight of juice at single strength (or standard dilution),
801380000,Tree Tomato,"weight of the tree tomato, excluding peel",Also called Tamarillo.
802148000,Eggplant,"weight of whole vegetable; including seeds, with or without",
802234000,Okra,weight of pods; including seeds,
802270000,"Pepper, bell",weight of flesh; excluding seeds and stem,"Includes sweet pepper, cooking pepper, pimento, and banana pepper."
802270001,"Pepper, bell-babyfood",weight of flesh; excluding seeds and stem,"Includes sweet pepper, cooking pepper, pimento, and banana pepper."
802271000,"Pepper, bell, dried",dry weight of flesh only,"Includes sweet pepper, cooking pepper, pimento, and banana pepper."
802271001,"Pepper, bell, dried-babyfood",dry weight of flesh only,"Includes sweet pepper, cooking pepper, pimento, and banana pepper."
802272000,"Pepper, nonbell","weight of flesh, with or without seeds; excluding stem",
802272001,"Pepper, nonbell-babyfood","weight of flesh, with or without seeds; excluding stem",
802273000,"Pepper, nonbell, dried",dry weight of flesh or flesh and seeds,
901075000,Cantaloupe,weight of pulp; excluding seeds and outer rind,"Includes casaba, muskmelon, and wintermelon."
901187000,Honeydew melon,weight of pulp; excluding seeds and rind,
901399000,Watermelon,weight of pulp and rind; excluding seeds,To include weight of pickled watermelon rind.
901400000,"Watermelon, juice",weight of juice at single strength (or standard dilution),
902021000,Balsam pear,weight of whole fruit,"Includes Balsam apple, Chinese cucumber, and Bittermelon."
902088000,"Chayote, fruit",weight of fruit,"Also called Christophine, and Mirliton."
902102000,Chinese waxgourd,weight of flesh; including or excluding peel,Includes Togan and wintermelon.
902135000,Cucumber,weight of flesh and seeds; including or excluding peel,
902308000,Pumpkin,weight of pulp; excluding seeds and rind,
902309000,"Pumpkin, seed",weight of dried seed only,
902356000,"Squash, summer","weight of flesh, seeds and peel","Includes crookneck squash, kampyo,  scallop squash, straightneck squash, veg"
902356001,"Squash, summer-babyfood","weight of flesh, seeds and peel","Includes crookneck squash, kampyo, scallop squash, straightneck squash, vege"
902357000,"Squash, winter",weight of flesh; excluding seeds and peel,"Includes butternut squash, hubbard squash, calabaza, acorn squash, and spagh"
902357001,"Squash, winter-babyfood",weight of flesh; excluding seeds and peel,
1001106000,Citron,weight of pulp; excluding peel,
1001107000,Citrus hybrids,weight of pulp; excluding seeds and peel,"Includes tangelo, Tangor, Chironja, and Calamondin."
1001108000,"Citrus, oil",weight of oil,
1001240000,Orange,weight of pulp; excluding seeds and peel,
1001241000,"Orange, juice",weight of juice at single strength (or standard dilution),
1001241001,"Orange, juice-babyfood",weight of juice at single strength (or standard dilution),
1001242000,"Orange, peel",weight of peel only,
1001369000,Tangerine,weight of pulp; excluding seeds and peel,Include clementine and mandarin.
1001370000,"Tangerine, juice",weight of juice at single strength (or standard dilution),Include+G148 clementine and mandarin.
1002197000,Kumquat,weight of fruit; including peel; excluding seeds,
1002199000,Lemon,weight of pulp; excluding seeds and peel,
1002200000,"Lemon, juice",weight of juice at single strength (or standard dilution),
1002200001,"Lemon, juice-babyfood",weight of juice at single strength (or standard dilution),
1002201000,"Lemon, peel",weight of peel only,
1002206000,Lime,weight of pulp; excluding seeds and peel,"Australian desert lime, Australian finger lime, Australian round lime, Brown"
1002207000,"Lime, juice",weight of juice at single strength (or standard dilution),"Australian desert lime, Australian finger lime, Australian round lime, Brown"
1002207001,"Lime, juice-babyfood",weight of juice at single strength (or standard dilution),"Australian desert lime, Australian finger lime, Australian round lime, Brown"
1003180000,Grapefruit,weight of pulp; excluding seeds and rind,Includes Uniq fruit
1003181000,"Grapefruit, juice",weight of juice at single strength (or standard dilution),
1003307000,Pummelo,weight of pulp; excluding seeds and peel,
1100007000,"Apple, fruit with peel","weight of apple; including peel, excluding core and stem",
1100008000,"Apple, peeled fruit","weight of apple; excluding peel, core and stem",
1100008001,"Apple, peeled fruit-babyfood","weight of apple; excluding peel, core and stem",
1100009000,"Apple, dried","dry weight; excluding peel, core, stem",
1100009001,"Apple, dried-babyfood","dry weight; excluding peel, core, stem",
1100010000,"Apple, juice",weight of juice at single strength (or standard dilution),
1100010001,"Apple, juice-babyfood",weight of juice at single strength (or standard dilution),
1100011000,"Apple, sauce",weight of applesauce,
1100011001,"Apple, sauce-babyfood",weight of applesauce,
1100129000,Crabapple,weight of pulp; excluding core and stem; including or exclu,Includes mayhaw.
1100210000,Loquat,weight of pulp; excluding seeds and skin,
1100266000,Pear,"weight of pulp, with or without peel; excluding core and st",Include Asian (Oriental) pear.
1100266001,Pear-babyfood,"weight of pulp, with or without peel; excluding core and st",Include Asian (Oriental) pear.
1100267000,"Pear, dried","weight of dried pulp, with or without peel",Include Asian (Oriental) pear.
1100268000,"Pear, juice",weight of juice at single strength (or standard dilution),Include Asian (Oriental) pear.
1100268001,"Pear, juice-babyfood",weight of juice at single strength (or standard dilution),Include Asian (Oriental) pear.
1100310000,Quince,weight of pulp; excluding seeds and peel,
1201090000,Cherry,weight of fruit; including skin; excluding pit and stem,Includes sweet cherry and sour or tart cherry.
1201090001,Cherry-babyfood,weight of fruit; including skin; excluding pit and stem,Includes sweet cherry and sour or tart cherry.
1201091000,"Cherry, juice",weight of juice at single strength (or standard dilution),Includes sweet cherry and sour or tart cherry.
1201091001,"Cherry, juice-babyfood",weight of juice at single strength (or standard dilution),Includes Sweet cherry and  Sour or tart cherry.
1202012000,Apricot,"weight of pulp, with or without peel; excluding pit",Includes Japanese apricot.
1202012001,Apricot-babyfood,"weight of pulp, with or without peel; excluding pit",
1202013000,"Apricot, dried","dry weight of pulp, with or without peel; excluding pit",Includes Japanese apricot.
1202014000,"Apricot, juice",weight of juice at single strength (or standard dilution),Includes Japanese apricot.
1202014001,"Apricot, juice-babyfood",weight of juice at single strength (or standard dilution),Includes Japanese apricot.
1202230000,Nectarine,weight of pulp; including peel; excluding pit and stem,
1202260000,Peach,"weight of pulp, with or without peel; excluding pit",
1202260001,Peach-babyfood,"weight of pulp, with or without peel; excluding pit",
1202261000,"Peach, dried","weight of dried pulp, with or without peel; excluding pit",
1202261001,"Peach, dried-babyfood","weight of dried pulp, with or without peel; excluding pit",
1202262000,"Peach, juice",weight of juice at single strength (or standard dilution),
1202262001,"Peach, juice-babyfood",weight of juice at single strength (or standard dilution),
1203285000,Plum,weight of pulp with peel; excluding pit,"""Includes American plum; Klamath plum; Beach plum; Canada plum; Cherry plum;"
1203285001,Plum-babyfood,weight of pulp with peel; excluding pit,"""Includes American plum; Klamath plum; Beach plum; Canada plum; Cherry plum;"
1203286000,"Plum, prune, fresh","weight of plum, with peel; excluding pit",
1203286001,"Plum, prune, fresh-babyfood","weight of plum, with peel; excluding pit",
1203287000,"Plum, prune, dried","weight of dried flesh, with or without peel; excluding pit",
1203287001,"Plum, prune, dried-babyfood","weight of dried flesh, with or without peel; excluding pit",
1203288000,"Plum, prune, juice",weight of juice at single strength (or standard dilution),
1203288001,"Plum, prune, juice-babyfood",weight of juice at single strength (or standard dilution),
1301055000,Blackberry,weight of berry,"Includes Andean blackberry, Arctic blackberry, bingleberry, black satin berr"
