cgn,CG_Subgroup,FCID_Desc,WWEIA_FCID_Code_0510,WWEIA_FCID_Code_0308,CSFII_FCID_Code,convert_from_csfii,convert_from_wweia0308,Fcid_Code_Description1
,,Not an EPA Food Commodity,0,0,0,0,0,0
1,1A,"Beet, sugar",101052000,101052000,1010520,1,1,1
1,1A,"Beet, sugar-babyfood",101052001,101052001,1010521,1,1,1
1,1A,"Beet, sugar, molasses",101053000,101053000,1010530,1,1,1
1,1A,"Beet, sugar, molasses-babyfood",101053001,101053001,1010531,1,1,1
1,1AB,"Beet, garden, roots",101050000,101050000,1010500,1,1,1
1,1AB,"Beet, garden, roots-babyfood",101050001,101050001,1010501,1,1,1
1,1AB,Burdock,101067000,101067000,1010670,1,1,1
1,1AB,Carrot,101078000,101078000,1010780,1,1,1
1,1AB,Carrot-babyfood,101078001,101078001,1010781,1,1,1
1,1AB,"Carrot, juice",101079000,101079000,1010790,1,1,1
1,1AB,Celeriac,101084000,101084000,1010840,1,1,1
1,1AB,"Chicory, roots",101100000,101100000,1011000,1,1,1
1,1AB,"Ginseng, dried",101168000,101168000,1011680,1,1,1
1,1AB,Horseradish,101190000,101190000,1011900,1,1,1
1,1AB,"Parsley, turnip rooted",101250000,101250000,1012500,1,1,1
1,1AB,Parsnip,101251000,101251000,1012510,1,1,1
1,1AB,Parsnip-babyfood,101251001,101251001,1012511,1,1,1
1,1AB,"Radish, roots",101314000,101314000,1013140,1,1,1
1,1AB,"Radish, Oriental, roots",101316000,101316000,1013160,1,1,1
1,1AB,Rutabaga,101327000,101327000,1013270,1,1,1
1,1AB,"Salsify, roots",101331000,101331000,1013310,1,1,1
1,1AB,"Turnip, roots",101388000,101388000,1013880,1,1,1
1,1C,"Potato, chips",103296000,103296000,1032960,1,1,1
1,1C,"Potato, dry (granules/ flakes)",103297000,103297000,1032970,1,1,1
1,1C,"Potato, dry (granules/ flakes)-babyfood",103297001,103297001,1032971,1,1,1
1,1C,"Potato, flour",103298000,103298000,1032980,1,1,1
1,1C,"Potato, flour-babyfood",103298001,103298001,1032981,1,1,1
1,1C,"Potato, tuber, w/peel",103299000,103299000,1032990,1,1,1
1,1C,"Potato, tuber, w/peel-babyfood",103299001,103299001,1032991,1,1,1
1,1C,"Potato, tuber, w/o peel",103300000,103300000,1033000,1,1,1
1,1C,"Potato, tuber, w/o peel-babyfood",103300001,103300001,1033001,1,1,1
1,1CD,"Arrowroot, flour",103015000,103015000,1030150,1,1,1
1,1CD,"Arrowroot, flour-babyfood",103015001,103015001,1030151,1,1,1
1,1CD,"Artichoke, Jerusalem",103017000,103017000,1030170,1,1,1
1,1CD,Cassava,103082000,103082000,1030820,1,1,1
1,1CD,Cassava-babyfood,103082001,103082001,1030821,1,1,1
1,1CD,"Dasheen, corm",103139000,103139000,1031390,1,1,1
1,1CD,Ginger,103166000,103166000,1031660,1,1,1
1,1CD,Ginger-babyfood,103166001,103166001,1031661,1,1,1
1,1CD,"Ginger, dried",103167000,103167000,1031670,1,1,1
1,1CD,Sweet potato,103366000,103366000,1033660,1,1,1
1,1CD,Sweet potato-babyfood,103366001,103366001,1033661,1,1,1
1,1CD,"Tanier, corm",103371000,103371000,1033710,1,1,1
1,1CD,Turmeric,103387000,103387000,1033870,1,1,1
