"EFSA_Food_Desc","FoodDB_Food_Name"
"Beer","Beer"
"Beer, alcohol-free","Beer"
"Beer, regular","Beer"
"Mixed beer drinks","Beer"
"Punch","Angelica"
"Cream liqueur","Cream"
"Fruit liqueur","Fruit juice"
"Herb liqueur","Angelica"
"Spirits made from stone fruits","Fruits"
"Rum","Rum"
"Vodka and vodka-like spirits","Vodka"
"Whisky","Whisky"
"Port","Port wine"
"Sherry","Sherry"
"Sparkling wine","White wine"
"Wine","White wine"
"Wine, red","Red wine"
"Wine, rosé","Rosé wine"
"Wine, white","White wine"
"Cider","Apple cider"
"Olive oils","Olive"
"Linseed oil","linseed oil"
"Peanut oil, edible","Peanut oil"
"Pumpkin seed oil","Japanese pumpkin"
"Rape seed oil, edible","Rape"
"Walnut oil","Walnut"
"Vegetable fats and oils, edible","Fats and oils"
"Butter","Butter"
"Traditional margarine","Margarine"
"Coffee (average strength) beverage","Coffee"
"Iced coffee","Coffee"
"Fruit infusion","Fruit juice"
"Herbal and other non-tea infusions","Herbal tea"
"Maté infusion","Angelica"
"Rooibos infusion","Angelica"
"Fermented tea infusion","Tea"
"Non-fermented tea, infusion","Tea"
"Tea beverages","Beverages"
"Tea infusion with added flavouring ingredients","Tea"
"Cocoa powder","Cocoa powder"
"Egg based dishes","Egg roll"
"Omelette with mushrooms","Mushrooms"
"Omelette with vegetables","Green vegetables"
"Omelette, plain","Plain cream cheese"
"Fish and rice meal","Rice"
"Beans and meat meal","Baked beans"
"Beans and vegetables meal","Green vegetables"
"Hummus","Hummus"
"Legumes based dishes","Angelica"
"Goulash","Angelica"
"Meat balls","Meat bouillon"
"Meat based dishes","Meat bouillon"
"Meat in aspic","Meat bouillon"
"Meat loaf","Meat bouillon"
"Meat stew","Stew"
"Mushroom based dishes","Common mushroom"
"Fries (finger chips)","Angelica"
"Pan-fried potato","Potato"
"Potato based dishes","Potato"
"Potato casserole","Potato"
"Potato croquettes","Potato"
"Potato puree","Potato"
"Potatoes and cheese meal","Cheese"
"Potatoes and meat meal","Meat bouillon"
"Potatoes, meat, and vegetables meal","Green vegetables"
"Prepared potato salad","Salad"
"Roesti","Angelica"
"Creamed vegetable mix","Vegetable juice"
"Mixed vegetables, boiled","Green vegetables"
"Mixed vegetables, braised","Green vegetables"
"Mixed vegetables, fried","Green vegetables"
"Ratatouille","Angelica"
"Vegetable based dishes","Vegetable juice"
"Dishes, incl. Ready to eat meals (excluding soups and salads)","Fats and oils"
"Pasta based dishes, cooked","Pasta"
"Pasta, filled with meat mix, cooked","Pasta"
"Pasta, filled with vegetable mix, cooked","Pasta"
"Pasta, filled, cooked","Pasta"
"Lasagna","Lasagna"
"Pasta, cooked, with cheese/cream","Pasta"
"Pasta, cooked, with mixed sauce","Pasta"
"Pasta, cooked, with vegetables","Pasta"
"Pasta, plain (not stuffed), cooked","Pasta"
"Milk rice","Rice"
"Rice and meat meal","Rice"
"Rice and vegetables meal","Rice"
"Rice based dishes, cooked","Rice"
"Rice pudding","Pudding"
"Risotto","Angelica"
"Spring rolls","Angelica"
"Pizza and pizza-like dishes","Pizza"
"Pizza and similar with cheese, and vegetables","Pizza"
"Pizza and similar with cheese, meat, and vegetables","Pizza"
"Pizza and similar with cheese, meat, mushrooms, and vegetables","Pizza"
"Pizza and similar with processed meat topping","Topping"
"Pizza and similar with vegetable topping","Topping"
"Doner kebab","Angelica"
"Hamburger with bread","Hamburger"
"Sandwich and sandwich-like dishes","Other sandwich"
"Sandwich with cheese and vegetable topping/filling","Topping"
"Sandwich with meat and vegetable topping/filling","Topping"
"Cheese savoury pie","Pie"
"Quiche","Angelica"
"Savoury pies and tarts","Fats and oils"
"Potato crisps or sticks","Potato"
"Corn curls","Corn"
"Fruit salad","Fruit salad"
"Greek salad","Greek feta cheese"
"Mixed vegetable salad","Salad"
"Prepared legume (beans) salad","Salad"
"Prepared meat salad","Salad"
"Prepared mixed egg/meat/fish/vegetable salad","Salad"
"Salads","Angelica"
"Cereal products and grains based soup","Cereals and cereal products"
"Corn semolina based thick soup","Semolina"
"Dairy/egg soup","Soup"
"Legume (beans) soup","Soup"
"Meat soup","Soup"
"Meat soup, clear","Soup"
"Mixed soups","Mixed nuts"
"Mixed vegetables soup","Soup"
"Mixed vegetables soup, with puree or pieces","Soup"
"Mushroom soup","Common mushroom"
"Potato soup","Soup"
"Soups (ready-to-eat)","Angelica"
"Tomato soup","Soup"
"Other desserts spoonable","Other bread"
"Boiled eggs","Eggs"
"Fried eggs","Eggs"
"Freshwater crayfishes","Freshwater eel"
"Freshwater shrimps or prawns","Freshwater eel"
"Shrimps and prawns","Fats and oils"
"Atlantic salmon","Atlantic salmon"
"Trouts","Angelica"
"Fish (meat)","Fish oil"
"Catfishes (freshwater)","Freshwater eel"
"Pike-perch","Northern pike"
"Cod","Atlantic cod"
"Cods, hakes, haddocks","Angelica"
"Hakes","Angelica"
"Plaice","Pleuronectidae (Dab, Halibut, Plaice)"
"Turbot","Turbot"
"Herrings","Angelica"
"Sardinella or oil sardine","Pacific sardine"
"Sardines and sardine-type fishes","Fishes"
"Miscellaneous pelagic marine fishes","Fishes"
"Tuna","Albacore tuna"
"Smoked salmon","Atlantic salmon"
"Fish fingers, breaded","Fish oil"
"Fish paste or surimi","Fish oil"
"Fish roe","Roe"
"Berries and small fruits","Fruits"
"Blueberries","Angelica"
"Raspberries (red and yellow)","Red rice"
"Cranberries","Angelica"
"Redcurrants","Angelica"
"Wine grapes","White wine"
"Strawberries","Angelica"
"Grapefruits","Angelica"
"Lemons","Angelica"
"Clementines","Angelica"
"Mandarins","Angelica"
"Oranges and similar-","Fats and oils"
"Kaki","Angelica"
"Avocados","Angelica"
"Common banana","Banana"
"Mangoes","Angelica"
"Papayas","Angelica"
"Pineapples","Angelica"
"Kiwi fruits (green, red, yellow)","Kiwi"
"Litchis","Angelica"
"Apples","Angelica"
"Pears","Angelica"
"Quinces","Angelica"
"Apricots","Angelica"
"Cherries and similar-","Fats and oils"
"Nectarines","Angelica"
"Peaches and similar-","Fats and oils"
"Plums","Angelica"
"Dried apples","Dried milk"
"Dried apricots","Dried milk"
"Dried dates","Dried milk"
"Dried figs","Dried milk"
"Dried fruit","Dried milk"
"Dried mangoes","Dried milk"
"Dried prunes","Dried milk"
"Dried vine fruits (raisins etc.)","Fruits"
"Fruit compote, apple","Apple"
"Fruit compote, cranberry","European cranberry"
"Fruit compote, peach","Peach"
"Fruit compote, pear","Pear"
"Fruit compote, plum","Black plum"
"Jam of fruit / vegetables","Green vegetables"
"Jam, apricots","Angelica"
"Jam, blackberries","Angelica"
"Jam, blueberries","Angelica"
"Jam, currants (red)","Red rice"
"Jam, lingonberry","Lingonberry"
"Jam, plums","Angelica"
"Jam, raspberries","Angelica"
"Jam, strawberries","Angelica"
"Marmalade, oranges","Angelica"
"Candied fruit, cherry","Sweet cherry"
"Canned or jarred apricot","Apricot"
"Canned or jarred fruit","Fruit juice"
"Canned or jarred mixed fruit","Fruit juice"
"Canned or jarred pear","Pear"
"Canned or jarred pineapple","Pineapple"
"Table olives ready for consumption","Angelica"
"Fruit or fruit-vegetable puree","Fruit juice"
"Fruit juice concentrates","Fruit juice"
"Fruit juices (100% from named source)","Fruit juice"
"Juice, apple","Apple"
"Juice, apricot","Apricot"
"Juice, blackberry","Blackberry"
"Juice, citrus","Citrus"
"Juice, grape","White grape juice"
"Juice, grapefruit","Grapefruit"
"Juice, lime","Lime"
"Juice, mango","Mango"
"Juice, orange","Sweet orange"
"Juice, peach","Peach"
"Juice, pear","Pear"
"Juice, pineapple","Pineapple"
"Juice, prune","Fruit juice"
"Juice, red currant","Red grape juice"
"Mixed fruit juice","Fruit juice"
"Fruit nectars (min. 25-50% fruit as defined in EU legislation)","Fruit juice"
"Nectar, peach","Peach"
"Juice, apple-carrot","Carrot"
"Fruit smoothies","Fruit juice"
"Multivitamin juices","Angelica"
"Juice, beetroot","Red beetroot"
"Juice, carrot","Carrot"
"Juice, multi-vegetable","Vegetable juice"
"Bread and similar products","Cereals and cereal products"
"Crackers and breadsticks","Fats and oils"
"Rye crisp bread","Crisp bread"
"Wheat crisp bread","Crisp bread"
"Puffed rice textured bread","Rice bread"
"Bread and rolls with special ingredients added","Wheat bread"
"Rye-wheat bread and rolls, wholemeal","Rye bread"
"Multigrain (not only rye-wheat) bread and rolls","Multigrain bread"
"Multigrain bread and rolls","Multigrain bread"
"Pretzels","Angelica"
"Pumpernickel","Angelica"
"Rye bread and rolls, refined flour","Rye bread"
"Rye bread and rolls, wholemeal","Rye bread"
"Single grain bread and rolls","Wheat bread"
"Wheat bread and rolls, brown or wholemeal","Wheat bread"
"Wheat bread and rolls, white (refined flour)","White bread"
"Wheat bread and rolls, white with maize","White bread"
"Wheat bread and rolls, white with soya","White bread"
"Rusk","Angelica"
"Pita bread","Pita bread"
"Unleavened or flat bread and similar","Wheat bread"
"Millet rolled grains","Millet"
"Spelt rolled grains","Spelt"
"Cereal bars","Breakfast cereal"
"Mixed breakfast cereals","Breakfast cereal"
"Muesli and similar mixed breakfast cereals","Breakfast cereal"
"Processed maize-based flakes","Processed cheese"
"Processed mixed cereal-based flakes","Processed cheese"
"Oat high-bran flakes","Oat"
"Processed wheat-based flakes","Wheat"
"Popcorn (maize, popped)","Popcorn"
"Popped cereals","Cereals and cereal products"
"Wheat germ","Wheat"
"Barley grains","Barley"
"Quinoa grain","Quinoa"
"Indian rice grain","Rice"
"Rice grain","Rice"
"Rice grain, long-grain","Rice"
"Rice grain, polished","Rice"
"Durum wheat grain","Wheat"
"Buckwheat groats","Common buckwheat"
"Millet groats","Millet"
"Wheat semolina","Semolina"
"Biscuit with inclusions, filling or coating","Biscuit"
"Wafers","Angelica"
"Biscuits, chocolate","Chocolate"
"Biscuits, oat meal","Oat"
"Biscuits, sweet, plain","Plain cream cheese"
"Biscuits, sweet, wheat wholemeal","Wheat"
"Butter biscuits","Butter"
"Speculaas","Angelica"
"Cakes","Angelica"
"Cake marbled, with chocolate","Cake"
"Chocolate cake","Cake"
"Chocolate cake with fruits","Fruits"
"Cheese cake","Cake"
"Cream cheese cake","Cake"
"Cream cake","Cake"
"Cream custard cake","Sweet custard"
"Fruit cake","Cake"
"Muffins","Angelica"
"Sponge cake","Cake"
"Sponge cake roll","Egg roll"
"Fine bakery wares","Angelica"
"Apple strudel","Apple"
"Cream-cheese strudel","Cream"
"Croissant from puff pastry","Pastry"
"Pastry based on laminated dough","Dough"
"Fruit pie-tarts","Pie"
"Dumpling, sweet","Dumpling"
"Macaroons","Angelica"
"Pancakes","Angelica"
"Lebkuchen","Angelica"
"Various pastry","Pastry"
"Waffles","Angelica"
"Brioche type products","Cereals and cereal products"
"Buns","Angelica"
"Croissant","Angelica"
"Croissant, filled with chocolate","Chocolate"
"Doughnuts-berliner","Angelica"
"Yeast leavened pastry","Pastry"
"Asian-style noodles other than glass noodles","Asian pear"
"Couscous","Couscous"
"Gnocchi","Angelica"
"Pasta-like products","Pasta"
"Fresh pasta","Pasta"
"Pasta, plain (not stuffed), uncooked","Pasta"
"Peas (without pods) and similar-","Fats and oils"
"Kidney bean (dry seeds)","Bean"
"Lentils (dry)","Lentils"
"Chickpeas (dry)","Angelica"
"Linseeds","Angelica"
"Peanuts","Angelica"
"Poppy seeds","Poppy"
"Pumpkin seeds","Japanese pumpkin"
"Sesame seeds","Sesame"
"Soyabeans for oil","Fish oil"
"Sunflower seeds","Sunflower"
"Almonds sweet","Sweet potato"
"Cashew nuts","Nuts"
"Chestnuts","Angelica"
"Coconuts","Angelica"
"Hazelnuts","Angelica"
"Pistachios","Angelica"
"Tree nuts","Nuts"
"Walnuts","Angelica"
"Cinnamon bark and similar-","Cinnamon"
"Capers buds","Capers"
"Paprika powder","Cocoa powder"
"Peppers, dried","Dried milk"
"Black pepper","Pepper"
"Ginger roots","Ginger"
"Wasabi roots","Wasabi"
"Nutmeg seed","Nutmeg"
"Isolated proteins and other protein products","Cereals and cereal products"
"Baking yeast","Angelica"
"Bovine liver","Angelica"
"Chicken fresh meat","Chicken"
"Duck fresh meat","Mallard duck"
"Turkey fresh meat","Turkey"
"Bovine and pig fresh meat","Domestic pig"
"Bovine fresh meat","Meat bouillon"
"Calf fresh meat","Meat bouillon"
"Cow, ox or bull fresh meat","Milk (Cow)"
"Deer fresh meat","Deer"
"Mammals meat","Milk (Other mammals)"
"Pig fresh meat","Domestic pig"
"Lamb fresh meat","Sheep (Mutton, Lamb)"
"Liver based spreadable-textured specialities","Angelica"
