"FCID_Food_Desc","FoodDB_Food_Name"
"Not an EPA Food Commodity","Baby food"
"Beet, garden, roots","Common beet"
"Beet, garden, roots-babyfood","Common beet"
"Beet, sugar","Sugar"
"Beet, sugar-babyfood","Sugar"
"Beet, sugar, molasses","Molasses"
"Beet, sugar, molasses-babyfood","Molasses"
"Burdock","Burdock"
"Carrot","Carrot"
"Carrot-babyfood","Carrot"
"Carrot, juice","Carrot"
"Celeriac","Celeriac"
"Chicory, roots","Chicory roots"
"Ginseng, dried","Ginseng"
"Horseradish","Horseradish"
"Parsley, turnip rooted","Turnip"
"Parsnip","Parsnip"
"Parsnip-babyfood","Parsnip"
"Radish, roots","Radish"
"Radish, Oriental, roots","Radish"
"Rutabaga","Angelica"
"Salsify, roots","Common salsify"
"Turnip, roots","Turnip"
"Arrowroot, flour","Arrowroot"
"Arrowroot, flour-babyfood","Arrowroot"
"Artichoke, Jerusalem","Jerusalem artichoke"
"Cassava","Cassava"
"Cassava-babyfood","Cassava"
"Dasheen, corm","Angelica"
"Ginger","Ginger"
"Ginger-babyfood","Ginger"
"Ginger, dried","Ginger"
"Potato, chips","Potato"
"Potato, dry (granules/ flakes)","Potato"
"Potato, dry (granules/ flakes)-babyfood","Potato"
"Potato, flour","Potato"
"Potato, flour-babyfood","Potato"
"Potato, tuber, w/peel","Potato"
"Potato, tuber, w/peel-babyfood","Potato"
"Potato, tuber, w/o peel","Potato"
"Potato, tuber, w/o peel-babyfood","Potato"
"Sweet potato","Sweet potato"
"Sweet potato-babyfood","Sweet potato"
"Tanier, corm","Angelica"
"Turmeric","Turmeric"
"Yam, true","Yam"
"Yam bean","Yam"
"Beet, garden, tops","Common beet"
"Chicory, tops","Chicory"
"Dasheen, leaves","Celery leaves"
"Radish, Oriental, tops","Radish"
"Salsify, tops","Common salsify"
"Garlic, bulb","Garlic"
"Garlic, bulb-babyfood","Garlic"
"Onion, bulb","White onion"
"Onion, bulb-babyfood","White onion"
"Onion, bulb, dried","White onion"
"Onion, bulb, dried-babyfood","White onion"
"Shallot, bulb","Shallot"
"Chive, fresh leaves","Celery leaves"
"Leek","Leek"
"Onion, green","Green onion"
"Shallot, fresh leaves","Shallot"
"Amaranth, leafy","Amaranth"
"Chrysanthemum, garland","Garland chrysanthemum"
"Cilantro, leaves","Celery leaves"
"Cilantro, leaves-babyfood","Celery leaves"
"Dandelion, leaves","Dandelion"
"Dillweed","Angelica"
"Endive","Endive"
"Lettuce, head","Lettuce"
"Lettuce, leaf","Lettuce"
"Parsley, leaves","Parsley"
"Radicchio","Angelica"
"Spinach","Spinach"
"Spinach-babyfood","Spinach"
"Swiss chard","Swiss chard"
"Arugula","Angelica"
"Broccoli, Chinese","Chinese broccoli"
"Broccoli raab","Broccoli"
"Cabbage, Chinese, bok choy","Chinese cabbage"
"Collards","Angelica"
"Cress, garden","Garden cress"
"Cress, upland","Garden cress"
"Kale","Kale"
"Mustard greens","Mustard"
"Radish, tops","Radish"
"Rape greens","Rape"
"Turnip, greens","Turnip"
"Watercress","Watercress"
"Broccoli","Broccoli"
"Broccoli-babyfood","Broccoli"
"Brussels sprouts","Brussel sprouts"
"Cabbage","Cabbage"
"Cabbage, Chinese, napa","Napa cabbage"
"Cabbage, Chinese, mustard","Chinese mustard"
"Cauliflower","Cauliflower"
"Soybean, seed","Soybean oil"
"Soybean, flour","Flour"
"Soybean, flour-babyfood","Flour"
"Soybean, soy milk","Soy milk"
"Soybean, soy milk-babyfood or infant formula","Soy milk"
"Soybean, oil","Soybean oil"
"Soybean, oil-babyfood","Soybean oil"
"Bean, snap, succulent","Bean"
"Bean, snap, succulent-babyfood","Bean"
"Pea, edible podded, succulent","Edible shell"
"Soybean, vegetable","Vegetable juice"
"Bean, broad, succulent","Broad bean"
"Bean, cowpea, succulent","Cowpea"
"Bean, lima, succulent","Lima bean"
"Pea, succulent","Common pea"
"Pea, succulent-babyfood","Common pea"
"Pea, pigeon, succulent","Pigeon pea"
"Bean, black, seed","Bean"
"Bean, broad, seed","Broad bean"
"Bean, cowpea, seed","Cowpea"
"Bean,  great northern, seed","Bean"
"Bean, kidney, seed","Bean"
"Bean, lima, seed","Lima bean"
"Bean, mung, seed","Mung bean"
"Bean, navy, seed","Bean"
"Bean, pink, seed","Pink salmon"
"Bean, pinto, seed","Bean"
"Chickpea, seed","Chickpea"
"Chickpea, seed-babyfood","Chickpea"
"Chickpea, flour","Chickpea"
"Guar, seed","Oil-seed Camellia"
"Guar, seed-babyfood","Oil-seed Camellia"
"Lentil, seed","Green lentil"
"Pea, dry","Common pea"
"Pea, dry-babyfood","Common pea"
"Pea, pigeon, seed","Pigeon pea"
"Goji berry","Goji"
"Tomatillo","Angelica"
"Tomato","Garden tomato"
"Tomato-babyfood","Garden tomato"
"Tomato, paste","Garden tomato"
"Tomato, paste-babyfood","Garden tomato"
"Tomato, puree","Garden tomato"
"Tomato, puree-babyfood","Garden tomato"
"Tomato, dried","Garden tomato"
"Tomato, dried-babyfood","Garden tomato"
"Tomato, juice","Garden tomato"
"Tree Tomato","Horseradish tree"
"Eggplant","Eggplant"
"Okra","Okra"
"Pepper, bell","Red bell pepper"
"Pepper, bell-babyfood","Red bell pepper"
"Pepper, bell, dried","Red bell pepper"
"Pepper, bell, dried-babyfood","Red bell pepper"
"Pepper, nonbell","Pepper"
"Pepper, nonbell-babyfood","Pepper"
"Pepper, nonbell, dried","Pepper"
"Cantaloupe","Cantaloupe melon"
"Honeydew melon","Cantaloupe melon"
"Watermelon","Watermelon"
"Watermelon, juice","Watermelon"
"Balsam pear","Pear"
"Chayote, fruit","Chayote"
"Chinese waxgourd","Chinese cabbage"
"Cucumber","Cucumber"
"Pumpkin","Japanese pumpkin"
"Pumpkin, seed","Japanese pumpkin"
"Squash, summer","Summer grape"
"Squash, summer-babyfood","Summer grape"
"Squash, winter","Winter squash"
"Squash, winter-babyfood","Winter squash"
"Citron","Angelica"
"Citrus hybrids","Citrus"
"Citrus, oil","Citrus"
"Orange","Sweet orange"
"Orange, juice","Sweet orange"
"Orange, juice-babyfood","Sweet orange"
